ano;Intervalo;bloco;parcela;InAB_camara;InAB_spp;InD_camara;InD_spp;InR_spp;InAB_total;InD_total
1990;T1_T2;A;1;0,024075834;0,004320181;-1;0;1;0,028396015;-1
1990;T1_T2;A;2;-0,003796235;-0,007385817;0;0;2;-0,011182052;0
1990;T1_T2;A;3;0,035672461;0,004660375;0;0;1;0,040332836;0
1990;T1_T2;A;4;0,025887561;0;-1;0;0;0,025887561;-1
1990;T1_T2;A;5;0,042868557;0;0;0;0;0,042868557;0
1990;T1_T2;A;6;0,002356681;-0,003774678;0;0;0;-0,001417997;0
1990;T1_T2;B;7;0,007655131;0,021737945;0;0;0;0,029393076;0
1990;T1_T2;B;8;-0,006810487;0,007224441;1;0;2;0,000413954;1
1990;T1_T2;B;9;0,008783174;0,002903066;0;0;1;0,011686239;0
1990;T1_T2;B;10;0,011798928;0,005734831;0;0;1;0,017533759;0
1990;T1_T2;B;11;0,020247306;0;0;0;0;0,020247306;0
1990;T1_T2;B;12;0,007718575;0,012218946;0;0;-1;0,019937521;0
1990;T1_T2;C;13;-0,01090178;0,012634681;0;0;1;0,001732901;0
1990;T1_T2;C;14;0,006307777;0,001755833;0;0;0;0,00806361;0
1990;T1_T2;C;15;0,006666016;0,012540365;0;0;2;0,019206382;0
1990;T1_T2;C;16;0,001620781;0,009709644;0;0;0;0,011330425;0
1990;T1_T2;C;17;0,019008333;0,010397339;0;0;3;0,029405671;0
1990;T1_T2;C;18;-0,007716508;0,031485276;0;0;1;0,023768769;0
1990;T2_T3;A;19;-0,184997504;0,019608974;1;1;5;-0,16538853;2
1990;T2_T3;A;20;-0,007807079;0,023017213;0;0;1;0,015210135;0
1990;T2_T3;A;21;-0,000425959;0,00556425;0;0;1;0,005138291;0
1990;T2_T3;A;22;0,016040339;0;1;0;0;0,016040339;1
1990;T2_T3;A;23;-0,013668489;0;0;0;0;-0,013668489;0
1990;T2_T3;A;24;0,003726167;0,015726292;0;-2;1;0,019452459;-2
1990;T2_T3;B;25;0,03045924;0,017807923;0;0;0;0,048267163;0
1990;T2_T3;B;26;0,026152136;-0,001945316;0;0;-1;0,024206821;0
1990;T2_T3;B;27;0,022077632;-0,001008076;0;0;0;0,021069556;0
1990;T2_T3;B;28;0,007814096;-0,000206053;0;0;0;0,007608043;0
1990;T2_T3;B;29;0,010849511;0,005015365;0;0;2;0,015864876;0
1990;T2_T3;B;30;-0,001653357;0,016553774;0;0;1;0,014900417;0
1990;T2_T3;C;31;-0,014747599;0,031337922;0;0;2;0,016590324;0
1990;T2_T3;C;32;0,001999853;-0,003683286;0;0;0;-0,001683433;0
1990;T2_T3;C;33;-0,006754464;0,007657133;0;0;0;0,000902669;0
1990;T2_T3;C;34;-0,012981185;0,034809065;0;0;3;0,02182788;0
1990;T2_T3;C;35;-0,006175069;0,007365722;0;0;-1;0,001190653;0
1990;T2_T3;C;36;-0,020000531;0,048121804;0;0;0;0,028121273;0
1990;T1_T3;A;37;-0,16092167;0,023929155;0;1;6;-0,136992515;1
1990;T1_T3;A;38;-0,011603313;0,015631396;0;0;3;0,004028083;0
1990;T1_T3;A;39;0,035246502;0,010224625;0;0;2;0,045471127;0
1990;T1_T3;A;40;0,041927901;0;0;0;0;0,041927901;0
1990;T1_T3;A;41;0,029200068;0;0;0;0;0,029200068;0
1990;T1_T3;A;42;0,006082848;0,011951614;0;-2;1;0,018034462;-2
1990;T1_T3;B;43;0,038114371;0,039545868;0;0;0;0,077660239;0
1990;T1_T3;B;44;0,019341649;0,005279125;1;0;1;0,024620774;1
1990;T1_T3;B;45;0,030860805;0,00189499;0;0;1;0,032755795;0
1990;T1_T3;B;46;0,019613024;0,005528778;0;0;1;0,025141802;0
1990;T1_T3;B;47;0,031096817;0,005015365;0;0;2;0,036112182;0
1990;T1_T3;B;48;0,006065217;0,02877272;0;0;0;0,034837938;0
1990;T1_T3;C;49;-0,025649379;0,043972603;0;0;3;0,018323225;0
1990;T1_T3;C;50;0,00830763;-0,001927453;0;0;0;0,006380176;0
1990;T1_T3;C;51;-8,84478E-05;0,020197498;0;0;2;0,02010905;0
1990;T1_T3;C;52;-0,011360405;0,04451871;0;0;3;0,033158305;0
1990;T1_T3;C;53;0,012833263;0,01776306;0;0;2;0,030596324;0
1990;T1_T3;C;54;-0,027717039;0,079607081;0;0;1;0,051890042;0
2002;T1_T2;D;55;-0,007389973;0,007860205;-1;1;3;0,10514604;0
2002;T1_T2;D;56;0,000105166;0;-1;0;1;0,088156285;-1
2002;T1_T2;D;57;0,035096701;0,003881491;-1;0;1;0,121401035;-1
2002;T1_T2;D;58;0,007868683;0,00559077;0;2;2;0,0637891;2
2002;T1_T2;D;59;0,010959741;-0,00000796;0;-1;0;0,021925835;-1
2002;T1_T2;D;60;0,013706518;0,00803369;2;2;1;0,056530205;4
2002;T1_T2;E;61;0,026079602;0;0;0;2;0,14444942;0
2002;T1_T2;E;62;0,038221694;0,086910686;0;3;0;0,29691778;3
2002;T1_T2;E;63;0,018659276;0,0223725;0;11;1;0,17782919;11
2002;T1_T2;E;64;0,013641317;0,00843875;0;5;1;0,161133025;5
2002;T1_T2;E;65;0,013566288;0,022078125;-1;14;-1;0,147988545;13
2002;T1_T2;E;66;0,024403878;-0,001250603;0;0;1;0,128762765;0
2002;T1_T2;F;67;0,00725586;0,131493126;0;7;0;0,296261486;7
2002;T1_T2;F;68;0,052653939;0,104319101;9;10;1;0,203476376;19
2002;T1_T2;F;69;0,03246409;0,073781401;13;9;3;0,114055041;22
2002;T1_T2;F;70;0,027585963;0,130458323;8;5;2;0,183919963;13
2002;T1_T2;F;71;0,015504721;0,094892591;5;14;2;0,140972091;19
2002;T1_T2;F;72;0,012885316;0,060985254;8;7;0;0,093911294;15
2002;T2_T3;D;73;NA;NA;NA;NA;NA;NA;NA
2002;T2_T3;D;74;NA;NA;NA;NA;NA;NA;NA
2002;T2_T3;D;75;NA;NA;NA;NA;NA;NA;NA
2002;T2_T3;D;76;NA;NA;NA;NA;NA;NA;NA
2002;T2_T3;D;77;NA;NA;NA;NA;NA;NA;NA
2002;T2_T3;D;78;NA;NA;NA;NA;NA;NA;NA
2002;T2_T3;E;79;NA;NA;NA;NA;NA;NA;NA
2002;T2_T3;E;80;NA;NA;NA;NA;NA;NA;NA
2002;T2_T3;E;81;NA;NA;NA;NA;NA;NA;NA
2002;T2_T3;E;82;NA;NA;NA;NA;NA;NA;NA
2002;T2_T3;E;83;NA;NA;NA;NA;NA;NA;NA
2002;T2_T3;E;84;NA;NA;NA;NA;NA;NA;NA
2002;T2_T3;F;85;NA;NA;NA;NA;NA;NA;NA
2002;T2_T3;F;86;NA;NA;NA;NA;NA;NA;NA
2002;T2_T3;F;87;NA;NA;NA;NA;NA;NA;NA
2002;T2_T3;F;88;NA;NA;NA;NA;NA;NA;NA
2002;T2_T3;F;89;NA;NA;NA;NA;NA;NA;NA
2002;T2_T3;F;90;NA;NA;NA;NA;NA;NA;NA
2002;T1_T3;D;91;NA;NA;NA;NA;NA;NA;NA
2002;T1_T3;D;92;NA;NA;NA;NA;NA;NA;NA
2002;T1_T3;D;93;NA;NA;NA;NA;NA;NA;NA
2002;T1_T3;D;94;NA;NA;NA;NA;NA;NA;NA
2002;T1_T3;D;95;NA;NA;NA;NA;NA;NA;NA
2002;T1_T3;D;96;NA;NA;NA;NA;NA;NA;NA
2002;T1_T3;E;97;NA;NA;NA;NA;NA;NA;NA
2002;T1_T3;E;98;NA;NA;NA;NA;NA;NA;NA
2002;T1_T3;E;99;NA;NA;NA;NA;NA;NA;NA
2002;T1_T3;E;100;NA;NA;NA;NA;NA;NA;NA
2002;T1_T3;E;101;NA;NA;NA;NA;NA;NA;NA
2002;T1_T3;E;102;NA;NA;NA;NA;NA;NA;NA
2002;T1_T3;F;103;NA;NA;NA;NA;NA;NA;NA
2002;T1_T3;F;104;NA;NA;NA;NA;NA;NA;NA
2002;T1_T3;F;105;NA;NA;NA;NA;NA;NA;NA
2002;T1_T3;F;106;NA;NA;NA;NA;NA;NA;NA
2002;T1_T3;F;107;NA;NA;NA;NA;NA;NA;NA
2002;T1_T3;F;108;NA;NA;NA;NA;NA;NA;NA
FS;T1_T2;G;;-0,000737925;0,060278002;0;3;1;0,059540077;3
FS;T1_T2;G;;-0,063141073;0,031536263;-8;2;1;-0,03160481;-6
FS;T1_T2;G;;-0,033522508;0,022850104;-5;0;1;-0,010672404;-5
FS;T1_T2;G;;-0,009088591;0,019130982;-1;-1;-1;0,010042391;-2
FS;T1_T2;G;;-0,013994515;0,040146843;-2;0;1;0,026152328;-2
FS;T1_T2;G;;-0,045948565;0,034769349;-4;-2;-1;-0,011179216;-6
FS;T1_T2;H;;-0,038678385;0,038809479;-5;-1;-1;0,000131094;-6
FS;T1_T2;H;;0,002683462;0,050556777;0;3;1;0,053240239;3
FS;T1_T2;H;;-0,067762769;0,035127699;-9;-1;-1;-0,03263507;-10
FS;T1_T2;H;;-0,019816231;0,122300051;-1;-1;-1;0,10248382;-2
FS;T1_T2;H;;-0,022095033;0,102481802;-3;1;1;0,080386769;-2
FS;T1_T2;H;;-0,049008198;0,001778495;-6;-3;-1;-0,047229703;-9
FS;T1_T2;I;;-0,031747519;0,050199387;-5;1;0;0,018451868;-4
FS;T1_T2;I;;-0,052844045;0,049114091;-6;3;1;-0,003729954;-3
FS;T1_T2;I;;-0,036297947;0,040874255;-4;1;-1;0,004576308;-3
FS;T1_T2;I;;-0,015366692;0,031105248;-2;1;2;0,015738556;-1
FS;T1_T2;I;;-0,011112287;0,041596119;-1;-1;-1;0,030483832;-2
FS;T1_T2;I;;-0,007509262;0,021585701;-2;0;-1;0,014076439;-2
FS;T2_T3;G;;-0,013139275;0,034207607;-2;-1;1;0,021068332;-3
FS;T2_T3;G;;0,035910343;0,009775481;-2;0;1;0,045685824;-2
FS;T2_T3;G;;-0,021700705;-0,00632903;-4;-4;-1;-0,028029735;-8
FS;T2_T3;G;;-0,004007161;-0,001539875;-1;-3;-1;-0,005547036;-4
FS;T2_T3;G;;-0,034379857;0,020832521;-3;-3;0;-0,013547336;-6
FS;T2_T3;G;;-0,025109235;0,708592507;-7;0;-1;0,683483272;-7
FS;T2_T3;H;;-0,031365779;0,027051922;-2;0;0;-0,004313857;-2
FS;T2_T3;H;;-0,023462217;0,068808589;-6;0;0;0,045346372;-6
FS;T2_T3;H;;-0,017236162;0,047190074;-2;0;-1;0,029953912;-2
FS;T2_T3;H;;-0,0334134;0,0906253;-5;0;0;0,0572119;-5
FS;T2_T3;H;;-0,045958158;0,122659184;-5;1;0;0,076701026;-4
FS;T2_T3;H;;-0,032910435;0,04245528;-2;8;6;0,009544845;6
FS;T2_T3;I;;-0,032635823;0,080369652;-4;5;0;0,047733829;1
FS;T2_T3;I;;0,015670638;0,028833242;-2;1;1;0,04450388;-1
FS;T2_T3;I;;-0,005417696;0,393337971;-1;2;1;0,387920275;1
FS;T2_T3;I;;-0,01296081;0,095348331;-3;3;1;0,082387521;0
FS;T2_T3;I;;-0,002585803;0,028960071;0;0;0;0,026374268;0
FS;T2_T3;I;;-0,000269967;0,016878994;-1;4;3;0,016609027;3
FS;T1_T3;G;;-0,0138772;0,094485609;-2;2;2;0,080608409;0
FS;T1_T3;G;;-0,02723073;0,041311744;-10;2;2;0,014081014;-8
FS;T1_T3;G;;-0,055223213;0,016521074;-9;-4;0;-0,038702139;-13
FS;T1_T3;G;;-0,013095752;0,017591107;-2;-4;-2;0,004495355;-6
FS;T1_T3;G;;-0,048374372;0,060979364;-5;-3;1;0,012604992;-8
FS;T1_T3;G;;-0,0710578;0,743361856;-11;-2;-2;0,672304056;-13
FS;T1_T3;H;;-0,070044164;0,065861401;-7;-1;-1;-0,004182763;-8
FS;T1_T3;H;;-0,020778755;0,119365366;-6;3;1;0,098586611;-3
FS;T1_T3;H;;-0,084998931;0,082317773;-11;-1;-2;-0,002681158;-12
FS;T1_T3;H;;-0,053229631;0,212925351;-6;-1;-1;0,15969572;-7
FS;T1_T3;H;;-0,068053191;0,225140986;-8;2;1;0,157087795;-6
FS;T1_T3;H;;-0,081918633;0,044233775;-8;5;5;-0,037684858;-3
FS;T1_T3;I;;-0,064383342;0,130569039;-9;6;0;0,066185697;-3
FS;T1_T3;I;;-0,037173407;0,077947333;-8;4;2;0,040773926;-4
FS;T1_T3;I;;-0,041715643;0,434212226;-5;3;0;0,392496583;-2
FS;T1_T3;I;;-0,028327502;0,126453579;-5;4;3;0,098126077;-1
FS;T1_T3;I;;-0,01369809;0,07055619;-1;-1;-1;0,0568581;-2
FS;T1_T3;I;;-0,007779229;0,038464695;-3;4;2;0,030685466;1
